dua_seq,section_title_bn,page_start,page_end,entry_number_bn,arabic,transliteration_bn,translation_bn,reference_bn,notes,raw_pages,parse_status,review_flag,source_excerpt
67,২৭. সকাল ও বিকালের যিকিরসমূহ,123,125,৭৯-(৫),اَللّٰهُمَّ أَنْتَ رَبِّي لَا إِلٰهَ إِلَّا أَنْتَ خَلَقْتَنِي وَأَنَا عَبْدُكَ، وَأَنَا عَلَى عَهْدِكَ وَوَعْدِكَ مَا اسْتَطَعْتُ، أَعُوذُ بِكَ مِنْ شَرِّ مَا صَنَعْتُ، أَبُوءُ لَكَ بِنِعْمَتِكَ عَلَيَّ، وَأَبُوءُ بِذَنْبِي، فَاغْفِرْ لِي، فَإِنَّهُ لَا يَغْفِرُ الذُّنُوبَ إِلَّا أَنْتَ.,"আল্লা-হুম্মা আনতা রব্বী লা ইলা-হা ইল্লা আনতা খালাকতানী ওয়া আনা ‘আব্দুকা ওয়া আনা ‘আলা ‘আহদিকা ওয়া ওয়া‘দিকা মাসতাতা‘তু। আ‘উযু বিকা মিন শাররি মা সানা‘তু, আবূউ’ লাকা বিনি‘মাতিকা ‘আলাইয়্যা, ওয়া আবূউ’ বিযানবী, ফাগফির লী, ফাইন্নাহূ লা ইয়াগফিরুয্ যুনূবা ইল্লা আনতা","[সায়্যিদুল ইসতিগফার:] “হে আল্লাহ! আপনি আমার রব, আপনি ছাড়া আর কোনো হক ইলাহ নেই। আপনি আমাকে সৃষ্টি করেছেন এবং আমি আপনার বান্দা। আর আমি আমার সাধ্য মতো আপনার (তাওহীদের) অঙ্গীকার ও (জান্নাতের) প্রতিশ্রুতির ওপর রয়েছি। আমি আমার কৃতকর্মের অনিষ্ট থেকে আপনার আশ্রয় চাই। আপনি আমাকে আপনার যে ১০৮ অর্থাৎ আমি স্বীকার করছি ও মেনে নিচ্ছি। নিয়ামত দিয়েছেন তা আমি স্বীকার করছি, আর আমি স্বীকার করছি আমার অপরাধও। অতএব, আপনি আমাকে মাফ করুন। নিশ্চয় আপনি ছাড়া আর কেউ গুনাহসমূহ মাফ করে না।” “যে ব্যক্তি সকালবেলা অথবা সন্ধ্যাবেলা এটি (সায়্যিদুল ইসতিগফার) অর্থ বুঝে দৃঢ় বিশ্বাসসহকারে পড়বে, সে এ দিন","“দি বযযি সকািমবিা অেবা সন্ধযামবিা এযে (‘সাযয়যদু ি ইসযতর্ফার’) অেগ বু মে দৃ ঢ় যবর্শ্াসসহকামর পড়মব, দস ঐ যদন রামত বা যদমন মারা দর্মি অবিযই োন্নামত িামব।” বু খারী, ৭/১৫০, নং ৬৩০৬।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","123,124,125",ok,,"[সায়্যিদুল ইসতিগফার:] اَللّٰهُمَّ أَنْتَ رَبِّي لَا إِلٰهَ إِلَّا أَنْتَ خَلَقْتَنِي وَأَنَا ১০৭ তিরমিযী, ৫/৪৬৬, নং ৩৩৯১। আরও দেখুন, সহীহুত তিরমিযী, ৩/১৪২।"
68,২৭. সকাল ও বিকালের যিকিরসমূহ,125,127,80-(6),"اَللّٰهُمَّ إِنِّي أَصْبَحْتُ أُشْهِدُكَ، وَأُشْهِدُ حَمَلَةَ عَرْشِكَ، وَمَلَائِكَتَكَ، وَجَمِيعَ خَلْقِكَ، أَنَّكَ أَنْتَ اللَّهُ لَا إِلٰهَ إِلَّا أَنْتَ وَحْدَكَ لَا شَرِيكَ لَكَ، وَأَنَّ مُحَمَّدًا عَبْدُكَ وَرَسُولُكَ. (৪ বার) ১১০ আর যখন বিকাল হবে, তখন বলবে, اَللّٰهُمَّ إِنِّي أَمْسَيْتُ (আল্লা-হুম্মা","আল্লা-হুম্মা ইন্নী আসবাহতু উশহিদুকা ওয়া উশহিদু হামালাতা ‘আরশিকা ওয়া মালা-ইকাতিকা ওয়া জামী‘আ খালকিকা, আন্নাকা আনতাল্লা-হু লা ইলা-হা ইল্লা আনতা ওয়াহদাকা লা শারীকা লাকা, ওয়া আন্না মুহাম্মাদান ‘আবদুকা ওয়া রাসূলুকা) [৪ বার]","“হে আল্লাহ! আমি সকালে উপনীত হয়েছি। আপনাকে আমি সাক্ষী রাখছি, আরও সাক্ষী রাখছি আপনার ‘আরশ’ বহনকারীদেরকে, আপনার ফিরিশতাগণকে ও আপনার সকল সৃষ্টিকে, (এর উপর) যে- নিশ্চয় আপনিই আল্লাহ, একমাত্র আপনি ছাড়া আর কোনো হক ইলাহ নেই, আপনার কোনো শরীক নেই, ইন্নী আমসাইতু) অর্থাৎ, “হে আল্লাহ আমি বিকালে উপনীত হয়েছি”। আর মুহাম্মাদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আপনার বান্দা ও রাসূল।” (৪ বার)","দি বযযি সকামি অেবা যবকামি তা চারবার বিমব, আল্লাহ তামক োহান্নামমর আগুন দেমক মুি করমবন। আবূ দাউদ ৪/৩১৭, নং ৫০৭১; বু খারী, আি-আদাবু ি মুফরাদ, নং ১২০১; নাসাঈ, ‘আমািু ি ইয়াওযম ওয়াি িাইিাহ, নং ৯; ইবনু স সু ন্নী, নং ৭০। সম্মাযনত িাইখ আবদু ি আিীি ইবন বাি রামহমাহুল্লাহ তাাঁর তুহফাতুি আখইয়ার গ্রমের পৃ . ২৩ এ নাসাঈ ও আবূ দাউমদর সনদমক হাসান বমিমছন।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","125,126,127",ok,,اَللّٰهُمَّ إِنِّي أَصْبَحْتُ أُشْهِدُكَ، وَأُشْهِدُ حَمَلَةَ عَرْشِكَ، وَمَلَائِكَتَكَ، وَجَمِيعَ خَلْقِكَ، أَنَّكَ أَنْتَ اللَّهُ لَا إِلٰهَ إِلَّا أَنْتَ وَحْدَكَ لَا شَرِيكَ لَكَ، وَأَنَّ مُحَمَّدًا عَبْدُكَ وَرَسُولُكَ. (৪ বার)
69,২৭. সকাল ও বিকালের যিকিরসমূহ,127,128,81-(7),اَللّٰهُمَّ مَا أَصْبَحَ بِي مِنْ نِعْمَةٍ أَوْ بِأَحَدٍ مِنْ خَلْقِكَ فَمِنْكَ وَحْدَكَ لَا شَرِيكَ لَكَ، فَلَكَ الْحَمْدُ وَلَكَ الشُّكْرُ.,"আল্লা-হুম্মা মা আসবাহা বী মিন নি‘মাতিন আও বিআহাদিন মিন খালকিকা ফামিনকা ওয়াহদাকা লা শারীকা লাকা, ফালাকাল হামদু ওয়ালাকাশ শুকরু","১১১ যে ব্যক্তি সকালে অথবা বিকালে তা চারবার বলবে, আল্লাহ তাকে “হে আল্লাহ! যে নিয়ামত আমার সাথে সকালে উপনীত হয়েছে, অথবা আপনার সৃষ্টির অন্য কারও সাথে; এসব নিয়ামত কেবল আপনার নিকট থেকেই, আপনার কোনো শরীক নেই। সুতরাং সকল প্রশংসা আপনারই। আর সকল কৃতজ্ঞতা আপনারই প্রাপ্য।”",যমন যন‘মাযতন...) অেগাৎ “দহ আল্লাহ! দি দনয়ামত আমার সামে যবকামি উপনীত হময়মছ...।”,"reference_recovered_from_pdftext,continued_from_previous_or_next_page","127,128",ok,,اَللّٰهُمَّ مَا أَصْبَحَ بِي مِنْ نِعْمَةٍ أَوْ بِأَحَدٍ مِنْ خَلْقِكَ فَمِنْكَ وَحْدَكَ لَا شَرِيكَ لَكَ، فَلَكَ الْحَمْدُ وَلَكَ الشُّكْرُ. (আল্লা-হুম্মা মা আসবাহা বী মিন নি‘মাতিন আও বিআহাদিন মিন খালকিকা ফামিনকা ওয়াহদাকা লা
70,২৭. সকাল ও বিকালের যিকিরসমূহ,128,130,82-(8),"اَللّٰهُمَّ عَافِنِي فِي بَدَنِي، اَللّٰهُمَّ عَافِنِي فِي سَمْعِي، اَللّٰهُمَّ عَافِنِي فِي بَصَرِي، لَا إِلٰهَ إِلَّا أَنْتَ. اَللّٰهُمَّ إِنِّي أَعُوذُ ১১২ আর বিকাল হলে বলবে, اَللّٰهُمَّ مَا أَمْسَى بِي (আল্লা-হুম্মা মা আমসা বী مِنَ الْكُفْرِ، وَالْفَقْرِ، وَأَعُوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، لَا إِلٰهَ إِلَّا أَنْتَ. (৩ বার)","আল্লা-হুম্মা ‘আ-ফিনী ফী বাদানী, আল্লা-হুম্মা ‘আ-ফিনী ফী সাম‘ঈ, আল্লা-হুম্মা ‘আ-ফিনী ফী বাসারী। লা ইলা-হা ইল্লা আনতা। আল্লা-হুম্মা ইন্নী আ‘উযু বিকা মিনাল কুফরি ওয়াল-ফাকরি ওয়া আ‘উযু বিকা মিন ‘আযা-বিল কাবরি, লা ইলাহা ইল্লা আনতা)। (৩ বার",মিন নি‘মাতিন...) অর্থাৎ “হে আল্লাহ! যে নেয়ামত আমার সাথে বিকালে উপনীত হয়েছে...”। ১১৩ যে ব্যক্তি সকালবেলায় উপরোক্ত দো‘আ পাঠ করলো সে যেনো সেই দিনের শুকরিয়া আদায় করলো। আর যে ব্যক্তি বিকালবেলা এ দো‘আ পাঠ করলো সে যেনো রাতের শুকরিয়া আদায় করলো। “হে আল্লাহ! আমাকে নিরাপত্তা দিন আমার শরীরে। হে আল্লাহ! আমাকে নিরাপত্তা দিন আমার শ্রবণশক্তিতে। হে আল্লাহ! আমাকে নিরাপত্তা দিন আমার দৃষ্টিশক্তিতে। আপনি ছাড়া কোনো হক ইলাহ নেই। হে আল্লাহ! আমি আপনার কাছে আশ্রয় চাই কুফরি ও দারিদ্র্য থেকে। আর আমি আপনার আশ্রয় চাই কবরের আযাব থেকে। আপনি ছাড়া আর কোনো হক ইলাহ নেই।” (৩ বার),"আবূ দাউদ ৪/৩২৪, নং ৫০৯২; আহমাদ ৫/৪২, নং ২০৪৩০; নাসাঈ, আমািু ি ইয়াওযম ওয়াল্লাইিাহ, নং ২২; ইবনু স সু ন্নী, নং ৬৯; বু খারী, আি-আদাবু ি মুফরাদ, নং ৭০১। আর িাইখ আল্লামা ইবন বাি রাযহমাহুল্লাহ ‘তুহফাতুি আখইয়ার’ গ্রমের পৃ . ২৬ এ এর সনদমক হাসান বমিমছন।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","128,129,130",ok,,"اَللّٰهُمَّ عَافِنِي فِي بَدَنِي، اَللّٰهُمَّ عَافِنِي فِي سَمْعِي، اَللّٰهُمَّ عَافِنِي فِي بَصَرِي، لَا إِلٰهَ إِلَّا أَنْتَ. اَللّٰهُمَّ إِنِّي أَعُوذُ ১১২ আর বিকাল হলে বলবে, اَللّٰهُمَّ مَا أَمْسَى بِي (আল্লা-হুম্মা মা আমসা বী মিন নি‘মাতিন...) অর্থাৎ “হে আল্লাহ! যে নেয়ামত আমার সাথে"
71,২৭. সকাল ও বিকালের যিকিরসমূহ,130,131,83-(9),حَسْبِيَ اللَّهُ لَا إِلٰهَ إِلَّا هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ. (৭ বার),"হাসবিয়াল্লা-হু লা ইলা-হা ইল্লা হুওয়া, ‘আলাইহি তাওয়াক্কালতু, ওয়া হুওয়া রব্বুল ‘আরশিল ‘আযীম) (৭ বার","“আল্লাহই আমার জন্য যথেষ্ট, তিনি ছাড়া আর কোনো হক ইলাহ নেই। আমি তাঁর ওপরই ভরসা করি। আর তিনি মহান ‘আরশের রব্ব।” (৭ বার)",দি বযযি দদা‘আযে সকািমবিা সাতবার এবং যবকািমবিা সাতবার বিমব তার দু যনয়া ও আমখরামতর সকি যচন্তাভাবনার,"reference_recovered_from_pdftext,continued_from_previous_or_next_page","130,131",ok,,"حَسْبِيَ اللَّهُ لَا إِلٰهَ إِلَّا هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ. (৭ বার) (হাসবিয়াল্লা-হু লা ইলা-হা ইল্লা হুওয়া, ‘আলাইহি তাওয়াক্কালতু, ওয়া হুওয়া রব্বুল ‘আরশিল ‘আযীম) (৭ বার)"
72,২৭. সকাল ও বিকালের যিকিরসমূহ,131,133,84-(10),اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ، اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي دِينِي وَدُنْيَايَ، وَأَهْلِي، وَمَالِي، اَللّٰهُمَّ اسْتُرْ عَوْرَاتِي، وَآمِنْ رَوْعَاتِي، اَللّٰهُمَّ احْفَظْنِي مِنْ بَيْنِ يَدَيَّ وَمِنْ خَلْفِي، وَعَنْ يَمِينِي وَعَنْ شِمَالِي، وَمِنْ فَوْقِي. وَأَعُوذُ بِعَظَمَتِكَ أَنْ أُغْتَالَ مِنْ تَحْتِي.,"আল্লা-হুম্মা ইন্নী আসআলুকাল ‘আফওয়া ওয়াল- ‘আ- ফিয়াতা ফিদ-দুনইয়া ওয়াল আ-খিরাতি। আল্লা-হুম্মা ইন্নী আসআলুকাল ‘আফওয়া ওয়াল-আ-ফিয়াতা ফী দীনী ওয়া দুনইয়াইয়া, ওয়া আহলী ওয়া মা-লী। আল্লা-হুম্মাসতুর ‘আওরা-তী ওয়া আ-মিন রাও‘আ-তি। আল্লা-হুম্মাহফাযনী মিন বাইনী ইয়াদাইয়্যা ওয়া মিন খালফী ওয়া ‘আন ইয়ামিনী ওয়া শিমা-লী ওয়া মিন ফাওকী। ওয়া আ‘উযু বি‘আযামাতিকা আন উগতা-লা মিন তাহতী","“হে আল্লাহ! আমি আপনার নিকট দুনিয়া ও আখেরাতে ক্ষমা ও নিরাপত্তা প্রার্থনা করছি। হে আল্লাহ! আমি আপনার নিকট ক্ষমা এবং নিরাপত্তা চাচ্ছি আমার দীন, দুনিয়া, পরিবার ও অর্থ-সম্পদের। হে আল্লাহ! আপনি আমার গোপন ক্রটিসমূহ ঢেকে রাখুন, আমার উদ্বিগ্নতাকে রূপান্তরিত করুন নিরাপত্তায়। হে আল্লাহ! আপনি আমাকে হিফাযত করুন আমার সামনের দিক থেকে, আমার পিছনের দিক থেকে, আমার ডান দিক থেকে, আমার বাম দিক থেকে এবং আমার উপরের দিক থেকে। আর আপনার মহত্ত্বের উসীলায় আশ্রয় চাই আমার নিচ থেকে হঠাৎ আক্রান্ত হওয়া থেকে।”","আবূ দাউদ, নং ৫০৭৪; ইবন মাোহ, নং ৩৮৭১। আরও দদখুন, সহীহ ইবন মাোহ ২/৩৩২।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","131,132,133",ok,,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ، اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي دِينِي وَدُنْيَايَ، وَأَهْلِي، وَمَالِي، اَللّٰهُمَّ اسْتُرْ عَوْرَاتِي، وَآمِنْ رَوْعَاتِي، اَللّٰهُمَّ احْفَظْنِي مِنْ بَيْنِ يَدَيَّ وَمِنْ خَلْفِي، وَعَن
73,২৭. সকাল ও বিকালের যিকিরসমূহ,133,134,85-(11),اَللّٰهُمَّ عَالِمَ الْغَيْبِ وَالشَّهَادَةِ فَاطِرَ السَّمَاوَاتِ وَالْأَرْضِ رَبَّ كُلِّ شَيْءٍ وَمَلِيكَهُ، أَشْهَدُ أَنْ لَا إِلٰهَ إِلَّا أَنْتَ، أَعُوذُ بِكَ مِنْ شَرِّ نَفْسِي، وَمِنْ شَرِّ الشَّيْطَانِ وَشِرْكِهِ، وَأَنْ أَقْتَرِفَ عَلَى نَفْسِي سُوءًا أَوْ أَجُرَّهُ إِلَى مُسْلِمٍ.,"আল্লা-হুম্মা ‘আ-লিমাল গাইবি ওয়াশ-শাহা-দাতি ফা-তিরাস সামা-ওয়া-তি ওয়াল আরদি, রব্বা কুল্লি শাইইন ওয়া মালীকাহু, আশহাদু আল্লা- ইলা-হা ইল্লা-আ আনতা আ‘উযু বিকা মিন শাররি নাফসী ওয়া মিন শাররিশ শাইত্বানী ওয়া শিরকিহী/ওয়া শারাকিহী ওয়া আন আকতারিফা ‘আলা নাফসী সূউ’আন আও আজুররাহু ইলা","“হে আল্লাহ! হে গায়েব ও উপস্থিতের জ্ঞানী, হে আসমানসমূহ ও যমীনের স্রষ্টা, হে সব কিছুর রব্ব ও মালিক! আমি সাক্ষ্য দিচ্ছি যে, আপনি ছাড়া আর কোনো হক ইলাহ নেই। আমি আপনার কাছে আশ্রয় চাই আমার আত্মার অনিষ্ট থেকে, শয়তানের অনিষ্টতা থেকে ও তার শির্ক বা তার ফাঁদ থেকে, আমার নিজের ওপর কোনো","যতরযমিী, নং ৩৩৯২; আবূ দাউদ, নং ৫০৬৭। আরও দদখুন, সহীহুত যতরযমিী, ৩/১৪২।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","133,134",ok,,اَللّٰهُمَّ عَالِمَ الْغَيْبِ وَالشَّهَادَةِ فَاطِرَ السَّمَاوَاتِ وَالْأَرْضِ رَبَّ كُلِّ شَيْءٍ وَمَلِيكَهُ، أَشْهَدُ أَنْ لَا إِلٰهَ إِلَّا أَنْتَ، أَعُوذُ بِكَ مِنْ شَرِّ نَفْسِي، وَمِنْ شَرِّ الشَّيْطَانِ وَشِرْكِهِ، وَأَنْ أَقْتَرِفَ عَلَى نَفْسِي سُوءًا أَوْ أَجُرَّهُ إِلَى مُسْلِمٍ.
74,২৭. সকাল ও বিকালের যিকিরসমূহ,135,135,86-(12),بِسْمِ اللَّهِ الَّذِي لَا يَضُرُّ مَعَ اسْمِهِ شَيْءٌ فِي الْأَرْضِ وَلَا فِي السَّمَاءِ وَهُوَ السَّمِيعُ الْعَلِيمُ. (৩ বার),"বিসমিল্লা-হিল্লাযী লা ইয়াদুররু মা‘আসমিহী শাইউন ফিল আরদি ওয়ালা ফিস্ সামা-ই, ওয়াহুয়াস সামী‘উল ‘আলীম)। (৩ বার","“আল্লাহর নামে, যার নামের সাথে আসমান ও যমীনে কোনো কিছুই ক্ষতি করতে পারে না। আর তিনি সর্বশ্রোতা, মহাজ্ঞানী।” (৩ বার)","দি বযযি সকামি যতনবার এবং যবকামি যতনবার এযে বিমব, দকামনা যকছু তার ক্ষযত করমত পারমব না। আবূ দাউদ, ৪/৩২৩,",reference_recovered_from_pdftext,135,ok,,"بِسْمِ اللَّهِ الَّذِي لَا يَضُرُّ مَعَ اسْمِهِ شَيْءٌ فِي الْأَرْضِ وَلَا فِي السَّمَاءِ وَهُوَ السَّمِيعُ الْعَلِيمُ. (৩ বার) (বিসমিল্লা-হিল্লাযী লা ইয়াদুররু মা‘আসমিহী শাইউন ফিল আরদি ওয়ালা ফিস্ সামা-ই, ওয়াহুয়াস সামী‘উল"
75,২৭. সকাল ও বিকালের যিকিরসমূহ,135,136,87-(13),رَضِيتُ بِاللَّهِ رَبًّا، وَبِالْإِسْلَامِ دِينًا، وَبِمُحَمَّدٍ صلى الله عليه وسلم نَبِيًّا. (৩ বার),"রাদ্বীতু বিল্লা-হি রব্বান, ওয়াবিল ইসলামি দীনান, ওয়াবি মুহাম্মাদিন সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লামা নাবিয়্যান ৩ বার","“আল্লাহকে রব, ইসলামকে দীন ও মুহাম্মাদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লামকে নবীরূপে গ্রহণ করে আমি সন্তুষ্ট।” (৩ বার)","দি বযযি এ দদা‘আ সকাি ও যবকাি যতনবার কমর বিমব, আল্লাহর কামছ তার অযধকার হময় িায় তামক যকয়ামামতর যদন সন্তুি করা। আহমাদ ৪/৩৩৭; নং ১৮৯৬৭; নাসাঈ, আমািু ি ইয়াওযম ওয়াি-িাইিাহ, নং ৪; ইবনু স সু ন্নী, নং ৬৮; আবু দাউদ,","reference_recovered_from_pdftext,continued_from_previous_or_next_page","135,136",ok,,"رَضِيتُ بِاللَّهِ رَبًّا، وَبِالْإِسْلَامِ دِينًا، وَبِمُحَمَّدٍ صلى الله عليه وسلم نَبِيًّا. (৩ বার) ১১৭ তিরমিযী, নং ৩৩৯২; আবূ দাউদ, নং ৫০৬৭। আরও দেখুন, সহীহুত তিরমিযী, ৩/১৪২।"
76,২৭. সকাল ও বিকালের যিকিরসমূহ,136,136,88-(14),يَا حَيُّ يَا قَيُّومُ، بِرَحْمَتِكَ أَسْتَغِيثُ أَصْلِحْ لِي شَأْنِي كُلَّهُ وَلَا تَكِلْنِي إِلَى نَفْسِي طَرْفَةَ عَيْنٍ.,"ইয়া হাইয়্যু ইয়া কাইয়্যূমু বিরাহমাতিকা আসতাগীছু, আসলিহ লী শা’নী কুল্লাহু, ওয়ালা তাকিলনী ইলা নাফসী ত্বারফাতা ‘আইন","“হে চিরঞ্জীব, হে চিরস্থায়ী! আমি আপনার রহমতের অসীলায় আপনার কাছে উদ্ধার কামনা করি, আপনি আমার সার্বিক অবস্থা সংশোধন করে দিন, আর আমাকে আমার নিজের কাছে নিমেষের জন্যও সোপর্দ করবেন না।”","হামকম ১/৫৪৫, যতযন হাদীসযেমক সহীহ বমিমছন, আর িাহাবী তা সমেগন কমরমছন। আরও দদখুন, সহীহ আত-তারর্ীব ওয়াত- তারহীব ১/২৭৩।",reference_recovered_from_pdftext,136,ok,,"يَا حَيُّ يَا قَيُّومُ، بِرَحْمَتِكَ أَسْتَغِيثُ أَصْلِحْ لِي شَأْنِي كُلَّهُ وَلَا تَكِلْنِي إِلَى نَفْسِي طَرْفَةَ عَيْنٍ. (ইয়া হাইয়্যু ইয়া কাইয়্যূমু বিরাহমাতিকা আসতাগীছু, আসলিহ লী শা’নী কুল্লাহু, ওয়ালা তাকিলনী ইলা নাফসী"
77,২৭. সকাল ও বিকালের যিকিরসমূহ,137,139,89-(15),أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ رَبِّ الْعَالَمِينَ، اَللّٰهُمَّ إِنِّي أَسْأَلُكَ خَيْرَ هٰذَا الْيَوْمِ: فَتْحَهُ، وَنَصْرَهُ، وَنُورَهُ، وَبَرَكَتَهُ، وَهُدَاهُ، وَأَعُوذُ بِكَ مِنْ شَرِّ مَا فِيهِ وَشَرِّ مَا بَعْدَهُ. أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ رَبِّ الْعَالَمِينَ,"আসবাহনা ওয়া আসবাহাল-মুলকু লিল্লা-হি রব্বিল ‘আলামীন। আল্লা-হুম্মা ইন্নী আসআলুকা খাইরা হা-যাল ইয়াওমি: ফাতহাহু ওয়া নাসরাহু ওয়া নুরাহু ওয়া আর যখন বিকাল হবে, তখন বলবে, আমসাইনা ওয়া আমসাল-মুলকু লিল্লা-হি রব্বিল ‘আলামীন","আমরা বিকালে উপনীত হয়েছি, অনুরূপ যাবতীয় রাজত্বও বিকালে উপনীত হয়েছে সৃষ্টিকুলের রব্ব আল্লাহর জন্য।” বারাকাতাহু ওয়া হুদা-হ। ওয়া আ‘উযু বিকা মিন শাররি মা ফীহি ওয়া শাররি মা বা‘দাহু)। “আমরা সকালে উপনীত হয়েছি, অনুরূপ যাবতীয় রাজত্বও সকালে উপনীত হয়েছে সৃষ্টিকুলের রব্ব আল্লাহর জন্য। হে আল্লাহ! আমি আপনার কাছে কামনা করি এই দিনের কল্যাণ: বিজয়, সাহায্য, নূর, বরকত ও হিদায়াত। আর আমি আপনার কাছে আশ্রয় চাই এ দিনের এবং এ দিনের পরের অকল্যাণ থেকে।” (আল্লা-হুম্মা ইন্নী আসআলুকা খাইরা হা-যিহিল লাইলাতি: ফাতহাহা ওয়া নাসরাহা, ওয়া নুরাহা, ওয়া বারাকাতাহা, ওয়া হুদা-হা, ওয়া আ‘উযু বিকা মিন শাররি মা ফী-হা, ওয়া শাররি মা বা‘দাহা) “হে আল্লাহ, আমি আপনার কাছে কামনা করি এই রাতের কল্যাণ: বিজয়, সাহায্য, নূর, বরকত ও হেদায়াত। আর আমি আপনার কাছে আশ্রয় চাই এ রাতের এবং এ রাতের পরের অকল্যাণ থেকে।”","আবূ দাউদ ৪/৩২২, নং ৫০৮৪; আর শু‘আইব ও আবদু ি কামদর আরনাঊত িাদু ি মা‘আমদর সম্পাদনায় ২/৩৭৩ এর সনদমক হাসান বমিমছন।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","137,138,139",ok,,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ رَبِّ الْعَالَمِينَ، اَللّٰهُمَّ إِنِّي أَسْأَلُكَ خَيْرَ هٰذَا الْيَوْمِ: فَتْحَهُ، وَنَصْرَهُ، وَنُورَهُ، وَبَرَكَتَهُ، وَهُدَاهُ، وَأَعُوذُ بِكَ مِنْ شَرِّ مَا فِيهِ وَشَرِّ مَا بَعْدَهُ.
78,২৭. সকাল ও বিকালের যিকিরসমূহ,139,140,90-(16),أَصْبَحْنَا عَلَى فِطْرَةِ الْإِسْلَامِ، وَعَلَى كَلِمَةِ الْإِخْلَاصِ، وَعَلَى دِينِ نَبِيِّنَا مُحَمَّدٍ صلى الله عليه وسلم وَعَلَى مِلَّةِ أَبِينَا إِبْرَاهِيمَ، حَنِيفًا مُسْلِمًا وَمَا كَانَ مِنَ الْمُشْرِكِينَ.,আসবাহনা ‘আলা ফিত্বরাতিল ইসলামি১২৪ ওয়া ‘আলা কালিমাতিল ইখলাসি ওয়া ‘আলা দ্বীনি নাবিয়্যিনা মুহাম্মাদিন সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম ওয়া ‘আলা,"“আমরা সকালে উপনীত হয়েছি ইসলামের ফিত্বরাতের ওপর, নিষ্ঠাপূর্ণ বাণী (তাওহীদ)-এর ওপর, আমাদের নবী মুহাম্মাদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের দীনের ওপর, আর আমাদের পিতা ইবরাহীম আলাইহিস","আহমাদ ৩/৪০৬, ৪০৭, নং ১৫৩৬০ ও নং ১৫৫৬৩; ইবনু স সু ন্নী, আমািু ি ইয়াওযম ওয়াি-িাইিাহ, নং ৩৪। আরও দদখুন, সহীহুি োমম‘উ ৪/২০৯।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","139,140",ok,,أَصْبَحْنَا عَلَى فِطْرَةِ الْإِسْلَامِ، وَعَلَى كَلِمَةِ الْإِخْلَاصِ، وَعَلَى دِينِ نَبِيِّنَا مُحَمَّدٍ صلى الله عليه وسلم وَعَلَى مِلَّةِ أَبِينَا إِبْرَاهِيمَ، حَنِيفًا مُسْلِمًا وَمَا كَانَ مِنَ الْمُشْرِكِينَ. (আসবাহনা ‘আলা ফিত্বরাতিল ইসলামি১২৪ ওয়া ‘আলা
